,Week,Team,Player,Slot,Pos,Status,Proj,Actual
253,3,1,Packers D/ST,16,Def,NA,9.516679581,14.0
254,3,1,Philip Rivers,0,QB,ACTIVE,16.8124894046,19.62
255,3,2,Saquon Barkley,2,RB,ACTIVE,20.729541731,7.7
256,3,2,Melvin Gordon,20,Bench,ACTIVE,0.0,0.0
257,3,2,Mike Evans,4,WR,QUESTIONABLE,13.524683468000001,45.0
258,3,2,Julian Edelman,4,WR,QUESTIONABLE,14.297161424699997,19.2
259,3,2,Aaron Jones,2,RB,ACTIVE,16.953427402,15.3
260,3,2,Tyler Lockett,23,Flex,ACTIVE,13.0931557873,32.4
261,3,2,DJ Moore,20,Bench,QUESTIONABLE,12.8197601028,13.399999999999999
262,3,2,Baker Mayfield,20,Bench,ACTIVE,15.9702814308,9.7
263,3,2,Tarik Cohen,20,Bench,ACTIVE,11.240145362000002,4.4
264,3,2,Justin Tucker,17,K,ACTIVE,8.411170468000002,4.0
265,3,2,Jamison Crowder,20,Bench,ACTIVE,11.625742605300001,4.5
266,3,2,Dak Prescott,0,QB,ACTIVE,21.839718853,22.54
267,3,2,Marquise Brown,4,WR,QUESTIONABLE,12.9497490124,6.9
268,3,2,Cowboys D/ST,16,Def,NA,9.329504629999999,12.0
269,3,2,T.J. Hockenson,6,TE,QUESTIONABLE,9.065036118,1.1
270,3,3,Le'Veon Bell,2,RB,ACTIVE,18.732036616,10.3
271,3,3,Derrick Henry,20,Bench,ACTIVE,14.097339000000002,11.6
272,3,3,Sony Michel,2,RB,ACTIVE,14.8885037713,7.1
273,3,3,Jarvis Landry,4,WR,QUESTIONABLE,11.8150271028,9.2
274,3,3,Bears D/ST,16,Def,NA,8.085670696,21.0
275,3,3,Harrison Butker,17,K,ACTIVE,8.760817245,10.0
276,3,3,Tom Brady,0,QB,ACTIVE,17.728547814000002,20.14
277,3,3,Allen Robinson II,4,WR,ACTIVE,12.658513388000001,12.0
278,3,3,Tyreek Hill,20,Bench,ACTIVE,0.0,0.0
279,3,3,James White,20,Bench,ACTIVE,0.0,0.0
280,3,3,Demarcus Robinson,4,WR,ACTIVE,11.278138568000001,13.3
281,3,3,Vance McDonald,20,Bench,ACTIVE,9.678384383000003,2.0
282,3,3,Zach Ertz,6,TE,QUESTIONABLE,14.273019494,10.4
283,3,3,Austin Ekeler,23,Flex,ACTIVE,18.564633886,15.1
284,3,3,Deshaun Watson,20,Bench,ACTIVE,19.000351301000002,25.840000000000003
285,3,4,DeAndre Hopkins,4,WR,QUESTIONABLE,17.10299533,12.7
